block,model,expr,depth,nodes,gates,n_parameters,N_T,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best,DeltaBIC_from_best
Rac1 perturbation; RhoA response,EML_expr,(R+R),0,3,0,3,91,y0=-1.3762846; B=10.823545; k=32.614479,2580.1480050004698,840.221336779331,3420.369341779801,28.353274780224943,28.007377892644364,310.37157077897416,317.9041492985247,28.007377892644364,27.937545198133865,533.9692237635888,521.4149262310045
Rac1 perturbation; RhoA response,EML_expr,((R+R)+R),0,5,0,3,91,y0=-1.3762804; B=7.215695; k=32.259175,2580.148005002877,840.2213504197928,3420.3693554226697,28.353274780251397,28.007378347326426,310.371570779059,317.9041492986096,28.007378347326426,27.937545652815928,533.9692237636737,521.4149262310895
Rac1 perturbation; RhoA response,linear_R,R,0,1,0,3,91,y0=-1.3762924; B=21.647097; k=26.744979,2580.1480054354147,840.221990475945,3420.3699959113596,28.353274785004558,28.0073996825315,310.3715707943143,317.9041493138649,28.0073996825315,27.937566988021,533.969223778929,521.4149262463447
RhoA perturbation; Cdc42 response,double_hill,(H(R)+H(R)),1,3,0,8,91,y0=-0.040312355; k=0.093761249; B1=240.60048; K1=14.166534; h1=0.51500473; B2=-44.270985; K2=0.90637152; h2=30,8.990215745457961,2.3215403354384776,11.311756080896437,0.09879357962041715,0.07738467784794925,-194.639762054436,-174.5528860023012,0.07738467784794925,0.0,5.012137263833154,2.501277757316302
RhoA perturbation; Cdc42 response,EML_expr,G((G(R)+R)),2,5,2,9,91,y0=0.0048812031; B=745.40178; k=0.2114389; a1=0.96633279; b1=0.94656745; c1=8.1990089e-39; a2=54.503703; b2=1.1388537e-06; c2=0.024734366,8.323479638058314,4.823754989266443,13.14723462732476,0.09146680920943202,0.1607918329755481,-199.65189931826916,-177.0541637596175,0.1607918329755481,0.08340715512759886,0.0,0.0
RhoA perturbation; Cdc42 response,EML_expr,G(G(R)),2,3,2,9,91,y0=0.066332187; B=-13.067598; k=0.23859806; a1=490.12973; b1=3.7922629; c1=0.13810753; a2=0.71120642; b2=0.1360887; c2=1.3196833e-11,15.669177742760228,5.040852748871546,20.710030491631773,0.17218876640395855,0.16802842496238488,-142.08391716278965,-119.486181604138,0.16802842496238488,0.09064374711443562,57.56798215547951,57.5679821554795
RhoA perturbation; Cdc42 response,EML_expr,G(G(G(R))),3,4,3,12,91,y0=0.24135438; B=-1109.8191; k=0.26592189; a1=1.000185; b1=1.0013994; c1=2.8350071e-36; a2=15.6728; b2=23.419643; c2=0.47044333; a3=455.15643; b3=2.5174816; c3=0.0017643946,19.269667765241792,7.797405874236382,27.067073639478174,0.21175459082683287,0.25991352914121274,-117.26178114001749,-87.1314670618153,0.25991352914121274,0.1825288512932635,82.39011817825167,89.9226966978022
RhoA perturbation; Cdc42 response,EML_expr,G(G((R+R))),2,5,2,9,91,y0=0.50937922; B=-1909.3998; k=0.15065882; a1=1.0027669; b1=0.97934393; c1=1.0629576; a2=1.2764979; b2=1.7524882; c2=1.073902e-07,16.606400467578787,8.608720964041517,25.215121431620297,0.18248791722614052,0.28695736546805056,-136.79748967695937,-114.19975411830772,0.28695736546805056,0.2095726876201013,62.854409641309786,62.85440964130977
RhoA perturbation; Cdc42 response,EML_expr,(G(R)+G(R)),1,5,2,9,91,y0=0.46149817; B=-34.539034; k=0.25196612; a1=1.4304197; b1=1.0915913; c1=5.95174e-29; a2=393.54585; b2=1.1289755; c2=8.893079e-28,20.750711182043297,9.476802281120888,30.227513463164183,0.228029793209267,0.31589340937069627,-116.52338778005995,-93.9256522214083,0.31589340937069627,0.23850873152274701,83.12851153820921,83.1285115382092
RhoA perturbation; Cdc42 response,EML_expr,G(R),1,2,1,6,91,y0=1.1675613; B=-7.7924986; k=0.28834866; a1=937.15262; b1=5.3706527; c1=0.0015790137,34.71305568164779,14.22721724180105,48.94027292344884,0.38146215034777786,0.47424057472670167,-75.70067177674825,-60.635514737647156,0.47424057472670167,0.39685589687875245,123.95122754152091,116.41864902197034
